FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_SILENCE')
FieldSub(class_name='android.app.DownloadManager$Request', name='mApkPackageName')
FieldSub(class_name='android.app.DownloadManager$Request', name='mAppointName')
FieldSub(class_name='android.app.DownloadManager$Request', name='mBypassRecommendedSizeLimit')
FieldSub(class_name='android.app.DownloadManager$Request', name='mColumnAppData')
FieldSub(class_name='android.app.DownloadManager$Request', name='mExtra')
FieldSub(class_name='android.app.DownloadManager$Request', name='mExtra2')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileHash')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileIconUri')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileSize')
FieldSub(class_name='android.app.DownloadManager$Request', name='mInstallWay')
FieldSub(class_name='android.app.DownloadManager$Request', name='mNotificationClass')
FieldSub(class_name='android.app.DownloadManager$Request', name='mUseSystemCache')
FieldSub(class_name='android.app.DownloadManager$Request', name='mUserAgent')
FieldSub(class_name='android.app.DownloadManager$Request', name='mXlVipStatus')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_collectWebViewProcesses')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_dumpMiuiStackTraces')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_enableAmsDebugConfig')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_enableWmsDebugConfig')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getCastPid')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformVideoWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getOomAdjOfPid')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getTaskResizeableForFreeform')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_registerActivityObserver')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_reportKillProcessEvent')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setAalEnabled')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setAalMode')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformVideoWhiteList')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_castRotationChanged')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_dismissSplitScreenMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_exitCastMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getMiuiFreeFormManagerService')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getMiuiMultiWinSplitService')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTaskResizeableForFreeform')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTasksVisibleSystem')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTopVisibleActivity')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_handleFreeformModeRequst')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isInFreeFormControlRegon')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isInSplitScreenWindowingMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isTopActivityInFreeform')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_launchFlashBackFromBackGround')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_launchSmallFreeFormWindow')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_moveTaskToBackByTaskId')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_moveTopActivityToCastMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_registerActivityObserver')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_registerSecureChangedListener')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_setOrientationOptions')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_snapshotTask')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_unRegisterSecureChangedListener')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_unregisterActivityObserver')
FieldSub(class_name='android.app.IAlarmManager$Stub', name='TRANSACTION_cancelPoweroffAlarm')
FieldSub(class_name='android.app.IAlarmManager$Stub', name='TRANSACTION_sendPendingAlarmByAurogon')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpBinderAllocations')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpMessage')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpPeriodHistoryMessage')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_enableActivityThreadLog')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_enableProcessMainThreadLooperLog')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_trackBinderAllocations')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_buzzBeepBlinkForNotification')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_enqueueTopMostTextToast')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_enqueueTopMostToast')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_getColorLightManager')
FieldSub(class_name='android.app.ITaskStackListener$Stub', name='TRANSACTION_onPcTaskMovedToBack')
FieldSub(class_name='android.app.IWallpaperManager$Stub', name='TRANSACTION_getArgsWallpaper')
FieldSub(class_name='android.app.IWallpaperManager$Stub', name='TRANSACTION_getArgsWallpaperWithFeature')
FieldSub(class_name='android.app.IWallpaperManager$Stub', name='TRANSACTION_getBlurWallpaper')
FieldSub(class_name='android.app.Notification', name='extraNotification')
FieldSub(class_name='android.app.QueuedWork', name='QUEUEDWORK_WAIT_TIMEOUT')
FieldSub(class_name='android.app.ResourcesManager', name='FRAMEWORK_RES_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='IS_MIUIX_EXIST')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_CODE_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_PATH')
FieldSub(class_name='android.app.RuntimeAppOpAccessMessage', name='_NUM_OP')
FieldSub(class_name='android.app.SystemServiceRegistry', name='PERSISTENT_DATA_BLOCK_PROP')
FieldSub(class_name='android.app.SystemServiceRegistry', name='PERSISTENT_OEM_VENDOR_LOCK')
FieldSub(class_name='android.app.SystemServiceRegistry', name='sMtkServiceRegistryClass')
FieldSub(class_name='android.app.TaskInfo', name='bounds')
FieldSub(class_name='android.app.TaskInfo', name='combinedTaskIds')
FieldSub(class_name='android.app.TaskInfo', name='windowMode')
FieldSub(class_name='android.app.WallpaperManager', name='FOLD_LARGE_SCREEN')
FieldSub(class_name='android.app.WallpaperManager', name='FOLD_SMALL_SCREEN')
FieldSub(class_name='android.app.WallpaperManager', name='drawableArgs')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_PRIVACY')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_UNDEFINED')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_FREEFORM')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_MAGIC_WINDOWS')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_PRIMARY')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_WINDOWING_MODE_SECONDARY')
FieldSub(class_name='android.app.WindowConfiguration', name='WINDOWING_MODE_FREEFORM_PC')
FieldSub(class_name='android.app.admin.IDevicePolicyManager$Stub', name='TRANSACTION_finalizeWorkProfileProvisioning')
FieldSub(class_name='android.app.admin.IDevicePolicyManager$Stub', name='TRANSACTION_getEnforcingAdminAndUserDetails')
FieldSub(class_name='android.app.backup.IBackupManager$Stub', name='TRANSACTION_cancelMiuiBackupsForUser')
FieldSub(class_name='android.app.job.JobInfo', name='isDexOptJob')
FieldSub(class_name='android.app.job.JobInfo$Builder', name='mIsDexOptJob')
FieldSub(class_name='android.app.usage.IUsageStatsManager$Stub', name='TRANSACTION_queryUsageStatsAsUser')
FieldSub(class_name='android.bluetooth.BluetoothAdapter', name='ADDRESS_LHDC_FLAG_EXTENTION')
FieldSub(class_name='android.bluetooth.BluetoothAdapter', name='ADDRESS_LHDC_FLAG_LENGTH')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_ADAPTIVE')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_TWSP')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_CELT')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV1')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV2')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV3')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='TAG')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='mEncoderFormat')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='CODEC_STATUS_ON')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='LE_ADUIO_STATE_OFF')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='LE_ADUIO_STATE_ON')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='LE_AUDIO')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='ACTION_STATE_CHANGED')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='EXTRA_LOCAL_STATE')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='LOCAL_STATE_OFF')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='LOCAL_STATE_ON')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_findBrAddress')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_findLeAddress')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_getLeAudioStatus')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_getSpecificCodecStatus')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_getTwsPlusPeerAddress')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_isConnectableDevice')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_isDualModeDevice')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_isLeDevice')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_isTwsPlusDevice')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_setLeAudioStatus')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_setSARLimit')
FieldSub(class_name='android.bluetooth.IBluetooth$Stub', name='TRANSACTION_setSpecificCodecStatus')
FieldSub(class_name='android.bluetooth.IBluetoothGatt$Stub', name='TRANSACTION_registerStatisticsClient')
FieldSub(class_name='android.bluetooth.IBluetoothGatt$Stub', name='TRANSACTION_unregisterStatisticsClient')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_NODE_ADDED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_NODE_REMOVED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_CONFIGURED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_DESTROYED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_IDLE')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_RECONFIGURED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_STREAMING')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio', name='GROUP_STATUS_SUSPENDED')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupAddNode')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupDestroy')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupLockSet')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupRemoveNode')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupStart')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupStop')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupStream')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_groupSuspend')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_nodeGetGroupId')
FieldSub(class_name='android.bluetooth.IBluetoothLeAudio$Stub', name='TRANSACTION_setVcAbsoluteVolume')
FieldSub(class_name='android.bluetooth.IBluetoothManager$Stub', name='TRANSACTION_isLeAudioProfileSupported')
FieldSub(class_name='android.bluetooth.IBluetoothVolumeControl$Stub', name='TRANSACTION_mute')
FieldSub(class_name='android.bluetooth.IBluetoothVolumeControl$Stub', name='TRANSACTION_unmute')
FieldSub(class_name='android.bluetooth.IBluetoothVolumeControl$Stub', name='TRANSACTION_volumeDown')
FieldSub(class_name='android.bluetooth.IBluetoothVolumeControl$Stub', name='TRANSACTION_volumeUp')
FieldSub(class_name='android.content.BroadcastReceiver', name='mBroadcastMonitor')
FieldSub(class_name='android.content.ContentProvider', name='mContentProviderMonitor')
FieldSub(class_name='android.content.Context', name='SECURITY_SERVICE')
FieldSub(class_name='android.content.IClipboard$Stub', name='TRANSACTION_getClipboardClickTrace')
FieldSub(class_name='android.content.IClipboard$Stub', name='TRANSACTION_getStashPrimaryClip')
FieldSub(class_name='android.content.IClipboard$Stub', name='TRANSACTION_getUserPrimaryClip')
FieldSub(class_name='android.content.IClipboard$Stub', name='TRANSACTION_pushClipboardRuleData')
FieldSub(class_name='android.content.IContentService$Stub', name='TRANSACTION_getMiSyncPauseToTime')
FieldSub(class_name='android.content.IContentService$Stub', name='TRANSACTION_getMiSyncStrategy')
FieldSub(class_name='android.content.IContentService$Stub', name='TRANSACTION_setMiSyncPauseToTime')
FieldSub(class_name='android.content.IContentService$Stub', name='TRANSACTION_setMiSyncStrategy')
FieldSub(class_name='android.content.Intent', name='mMiuiFlags')
FieldSub(class_name='android.content.Intent', name='mSenderPackageName')
FieldSub(class_name='android.content.SyncResult', name='miSyncResult')
FieldSub(class_name='android.content.SyncStatusInfo', name='miSyncStatusInfo')
FieldSub(class_name='android.content.pm.ActivityInfo', name='CONFIG_DISPLAY_DEVICE_TYPE')
FieldSub(class_name='android.content.pm.ApplicationInfo', name='miuiFlags')
FieldSub(class_name='android.content.pm.IPackageInstaller$Stub', name='TRANSACTION_getSpeedInstallExternalFilePath')
FieldSub(class_name='android.content.pm.IPackageInstaller$Stub', name='TRANSACTION_removeSpeedInstallExternalFilePath')
FieldSub(class_name='android.content.pm.IPackageInstallerSession$Stub', name='TRANSACTION_getInstallFlags')
FieldSub(class_name='android.content.pm.IPackageInstallerSession$Stub', name='TRANSACTION_submitSpeedInstallFile')
FieldSub(class_name='android.content.pm.PackageInstaller', name='SPEED_INSTALL_EXTERNAL_PATH')
FieldSub(class_name='android.content.pm.PackageInstaller', name='SPEED_INSTALL_PROPERTY')
FieldSub(class_name='android.content.res.AssetManager', name='MEDIATEK_APK_PATH')
FieldSub(class_name='android.content.res.CompatibilityInfo', name='MIUI_COMPAT_REQUIRED')
FieldSub(class_name='android.content.res.CompatibilityInfo', name='sIsMiuiScreenCompatApp')
FieldSub(class_name='android.content.res.Configuration', name='DISPLAY_DEVICE_TYPE_UNDEFINED')
FieldSub(class_name='android.content.res.Configuration', name='MIUI_DISPLAY_DEVICE_TYPE_MAIN')
FieldSub(class_name='android.content.res.Configuration', name='MIUI_DISPLAY_DEVICE_TYPE_SUB')
FieldSub(class_name='android.content.res.Configuration', name='UI_MODE_PC_MASK')
FieldSub(class_name='android.content.res.Configuration', name='UI_MODE_PC_NO')
FieldSub(class_name='android.content.res.Configuration', name='UI_MODE_PC_UNDEFINED')
FieldSub(class_name='android.content.res.Configuration', name='UI_MODE_PC_YES')
FieldSub(class_name='android.content.res.Configuration', name='extraConfig')
FieldSub(class_name='android.content.res.Configuration', name='miuiDisplayDeviceType')
FieldSub(class_name='android.content.res.ResourcesImpl', name='mAppContext')
FieldSub(class_name='android.drm.DrmInfoEvent', name='TYPE_CTA5_CALLBACK')
FieldSub(class_name='android.drm.DrmInfoRequest', name='TYPE_GET_OMA_DRM_INFO')
FieldSub(class_name='android.drm.DrmInfoRequest', name='TYPE_SET_OMA_DRM_INFO')
FieldSub(class_name='android.drm.DrmStore$Action', name='PRINT')
FieldSub(class_name='android.drm.DrmStore$Action', name='WALLPAPER')
FieldSub(class_name='android.drm.DrmStore$RightsStatus', name='SECURE_TIMER_INVALID')
FieldSub(class_name='android.graphics.BitmapFactory', name='CACHE_SIZE_MAX')
FieldSub(class_name='android.graphics.BitmapFactory', name='CACHE_SIZE_MIN')
FieldSub(class_name='android.graphics.BitmapFactory', name='sBm')
FieldSub(class_name='android.graphics.BitmapFactory', name='sId')
FieldSub(class_name='android.graphics.BitmapFactory', name='sLock')
FieldSub(class_name='android.graphics.BitmapFactory', name='sTid')
FieldSub(class_name='android.graphics.BitmapFactory$Options', name='inPostProc')
FieldSub(class_name='android.graphics.BitmapFactory$Options', name='inPostProcFlag')
FieldSub(class_name='android.graphics.BitmapRegionDecoder', name='mDecodeRegionSem')
FieldSub(class_name='android.graphics.Paint', name='mShowTypeface')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_BIG_VIEW')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_BUTTON')
