FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_DPD_DELAY_SEC_DISABLED')
FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_OPTION_AUTOMATIC_ADDRESS_FAMILY_SELECTION')
FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_OPTION_AUTOMATIC_NATT_KEEPALIVES')
FieldSub(class_name='android.net.nsd.NsdManager', name='RUN_NATIVE_NSD_ONLY_IF_LEGACY_APPS_T_AND_LATER')
FieldSub(class_name='android.net.vcn.persistablebundleutils.IkeSessionParamsUtils', name='IKE_OPTION_AUTOMATIC_ADDRESS_FAMILY_SELECTION')
FieldSub(class_name='android.net.vcn.persistablebundleutils.IkeSessionParamsUtils', name='IKE_OPTION_AUTOMATIC_NATT_KEEPALIVES')
FieldSub(class_name='android.net.wifi.WifiConfiguration', name='isCurrentlyConnected')
FieldSub(class_name='android.net.wifi.WifiConfiguration$NetworkSelectionStatus', name='DISABLED_TRANSITION_DISABLE_INDICATION')
FieldSub(class_name='android.net.wifi.WifiManager', name='API_SET_NETWORK_SELECTION_CONFIG')
FieldSub(class_name='android.net.wifi.WifiManager', name='API_SET_THIRD_PARTY_APPS_ENABLING_WIFI_CONFIRMATION_DIALOG')
FieldSub(class_name='android.provider.DeviceConfig', name='NAMESPACE_VENDOR_SYSTEM_NATIVE_BOOT')
FieldSub(class_name='android.provider.MediaStore', name='EXTRA_LOCAL_PROVIDER')
FieldSub(class_name='android.provider.Settings$Global', name='REMOVE_GUEST_ON_EXIT')
FieldSub(class_name='android.provider.Settings$Secure', name='ADAPTIVE_CHARGING_ENABLED')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_APP_SOURCE_NAME')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_CODE')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_PROGRAM_INFO')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_COMPLETED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_NOT_STARTED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_PAUSED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_STARTED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_STATE')
FieldSub(class_name='android.provider.Settings$Secure', name='EXTRA_AUTOMATIC_POWER_SAVE_MODE')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_AUTH_DOWNTIME')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_BP_POWER_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_ENROLL_TAP_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_KG_POWER_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='KNOWN_TRUST_AGENTS_INITIALIZED')
FieldSub(class_name='android.provider.Settings$Secure', name='MEDIA_CONTROLS_LOCK_SCREEN')
FieldSub(class_name='android.provider.Settings$Secure', name='SCREENSAVER_COMPLICATIONS_ENABLED')
FieldSub(class_name='android.provider.Settings$System', name='DESKTOP_MODE')
FieldSub(class_name='android.providers.settings.SecureSettingsProto', name='EXTRA_LOW_POWER_MODE')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_CAR')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_HE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_LE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_UNDOCKED')
FieldSub(class_name='android.service.notification.Condition', name='MAX_STRING_LENGTH')
FieldSub(class_name='android.service.notification.NotificationAssistantService', name='ACTION_NOTIFICATION_ASSISTANT_DETAIL_SETTINGS')
FieldSub(class_name='android.service.voice.HotwordDetectedResult', name='EXTRA_PROXIMITY_METERS')
FieldSub(class_name='android.telephony.CarrierConfigManager', name='KEY_CAPABILITIES_EXEMPT_FROM_SINGLE_DC_CHECK_INT_ARRAY')
FieldSub(class_name='android.telephony.DataFailCause', name='IWLAN_CONGESTION')
FieldSub(class_name='android.telephony.DataFailCause', name='SERVICE_OR_OPTION_NOT_AVAILABLE')
FieldSub(class_name='android.util.FeatureFlagUtils', name='SETTINGS_VOLUME_PANEL_IN_SYSTEMUI')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_BOTTOM_GENERIC_OVERLAY')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_LEFT_GENERIC_OVERLAY')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_RIGHT_GENERIC_OVERLAY')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_TOP_GENERIC_OVERLAY')
FieldSub(class_name='android.view.RemoteAnimationTarget', name='showBackdrop')
FieldSub(class_name='android.view.RemoteAnimationTarget', name='willShowImeOnTarget')
FieldSub(class_name='android.view.ViewStructure', name='EXTRA_ACTIVE_CHILDREN_IDS')
FieldSub(class_name='android.view.ViewStructure', name='EXTRA_FIRST_ACTIVE_POSITION')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_DREAM_ACTIVITY_CLOSE')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_DREAM_ACTIVITY_OPEN')
FieldSub(class_name='android.view.WindowManager', name='TRANSIT_OLD_KEYGUARD_OCCLUDE_BY_DREAM')
FieldSub(class_name='android.view.WindowManager$LayoutParams', name='PRIVATE_FLAG_UNRESTRICTED_GESTURE_EXCLUSION')
FieldSub(class_name='android.view.WindowManager$LayoutParams', name='providedInsets')
FieldSub(class_name='android.view.WindowManagerGlobal', name='RELAYOUT_RES_CANCEL_AND_REDRAW')
FieldSub(class_name='android.view.contentcapture.ContentCaptureManager', name='DEVICE_CONFIG_PROPERTY_REPORT_LIST_VIEW_CHILDREN')
FieldSub(class_name='android.widget.ToastPresenter', name='TEXT_TOAST_LAYOUT_WITH_ICON')
FieldSub(class_name='android.window.ClientWindowFrames', name='attachedFrame')
FieldSub(class_name='android.window.ClientWindowFrames', name='sizeCompatScale')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_OP_TYPE')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_TASK_FRAGMENT_INFO')
FieldSub(class_name='android.window.TaskFragmentOrganizer', name='KEY_ERROR_CALLBACK_THROWABLE')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_CROSS_PROFILE_OWNER_THUMBNAIL')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_CROSS_PROFILE_WORK_THUMBNAIL')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_FILLS_TASK')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_IN_TASK_WITH_EMBEDDED_ACTIVITY')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_IS_BEHIND_STARTING_WINDOW')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_IS_INPUT_METHOD')
FieldSub(class_name='android.window.TransitionInfo', name='FLAG_WILL_IME_SHOWN')
FieldSub(class_name='android.window.WindowContainerTransaction$Change', name='CHANGE_FORCE_TRANSLUCENT')
FieldSub(class_name='android.window.WindowContainerTransaction$HierarchyOp', name='HIERARCHY_OP_TYPE_REMOVE_TASK')
FieldSub(class_name='android.window.WindowContainerTransaction$HierarchyOp', name='HIERARCHY_OP_TYPE_SET_ALWAYS_ON_TOP')
FieldSub(class_name='com.android.internal.R$anim', name='task_fragment_clear_top_close_enter')
FieldSub(class_name='com.android.internal.R$anim', name='task_fragment_clear_top_close_exit')
FieldSub(class_name='com.android.internal.R$anim', name='task_fragment_clear_top_open_enter')
FieldSub(class_name='com.android.internal.R$anim', name='task_fragment_clear_top_open_exit')
FieldSub(class_name='com.android.internal.R$array', name='config_sfps_enroll_stage_thresholds')
FieldSub(class_name='com.android.internal.R$bool', name='config_alias_ring_notif_stream_types')
FieldSub(class_name='com.android.internal.R$bool', name='config_displayWhiteBalanceLightModeAllowed')
FieldSub(class_name='com.android.internal.R$bool', name='config_guestUserAllowEphemeralStateChange')
FieldSub(class_name='com.android.internal.R$bool', name='config_keepDreamingWhenUndocking')
