FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_REMOTE_SUBMIX')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_TELEPHONY')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_TV_TUNER')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_UNKNOWN')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_ACCESSORY')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_DEVICE')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_USB_HEADSET')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_WIRED_HEADPHONES')
FieldSub(class_name='android.media.audio.Enums', name='AUDIO_DEVICE_INFO_TYPE_WIRED_HEADSET')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_DISABLED')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_OTHER')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_RELATIVE_SCREEN')
FieldSub(class_name='android.media.audio.Enums', name='HEAD_TRACKING_MODE_RELATIVE_WORLD')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_MCHAN_BED_PLUS_OBJECTS')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_MULTICHANNEL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_LEVEL_NONE')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_MODE_BINAURAL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_MODE_TRANSAURAL')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_BOOT')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_FIRST')
FieldSub(class_name='android.media.audio.Enums', name='SPATIALIZER_SETTING_EVENT_NORMAL')
FieldSub(class_name='android.media.projection.IMediaProjection$Stub', name='TRANSACTION_getLaunchCookie')
FieldSub(class_name='android.media.projection.IMediaProjection$Stub', name='TRANSACTION_setLaunchCookie')
FieldSub(class_name='android.nearby.NearbyDeviceParcelable', name='mEncryptionKeyTag')
FieldSub(class_name='android.nearby.NearbyDeviceParcelable', name='mPresenceDevice')
FieldSub(class_name='android.nearby.NearbyDeviceParcelable$Builder', name='mEncryptionKeyTag')
FieldSub(class_name='android.nearby.NearbyDeviceParcelable$Builder', name='mPresenceDevice')
FieldSub(class_name='android.net.IConnectivityManager$Stub', name='TRANSACTION_getFirewallChainEnabled')
FieldSub(class_name='android.net.IEthernetManager$Stub', name='TRANSACTION_disableInterface')
FieldSub(class_name='android.net.IEthernetManager$Stub', name='TRANSACTION_enableInterface')
FieldSub(class_name='android.net.QosCallbackException', name='EX_TYPE_FILTER_SOCKET_NOT_CONNECTED')
FieldSub(class_name='android.net.QosCallbackException', name='EX_TYPE_FILTER_SOCKET_REMOTE_ADDRESS_CHANGED')
FieldSub(class_name='android.net.TestNetworkInterface', name='TAG')
FieldSub(class_name='android.net.TestNetworkInterface', name='mMacAddress')
FieldSub(class_name='android.net.TestNetworkInterface', name='mMtu')
FieldSub(class_name='android.net.TestNetworkManager', name='CARRIER_UP')
FieldSub(class_name='android.net.TestNetworkManager', name='USE_IPV6_PROV_DELAY')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_CAPTIVE_PORTAL_HTTPS_URL')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_CAPTIVE_PORTAL_HTTP_URL')
FieldSub(class_name='android.net.connectivity.com.android.net.module.util.NetworkStackConstants', name='TEST_URL_EXPIRATION_TIME')
FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_DPD_DELAY_SEC_DISABLED')
FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_OPTION_AUTOMATIC_ADDRESS_FAMILY_SELECTION')
FieldSub(class_name='android.net.ipsec.ike.IkeSessionParams', name='IKE_OPTION_AUTOMATIC_NATT_KEEPALIVES')
FieldSub(class_name='android.net.nsd.NsdManager', name='RUN_NATIVE_NSD_ONLY_IF_LEGACY_APPS_T_AND_LATER')
FieldSub(class_name='android.net.vcn.persistablebundleutils.IkeSessionParamsUtils', name='IKE_OPTION_AUTOMATIC_ADDRESS_FAMILY_SELECTION')
FieldSub(class_name='android.net.vcn.persistablebundleutils.IkeSessionParamsUtils', name='IKE_OPTION_AUTOMATIC_NATT_KEEPALIVES')
FieldSub(class_name='android.net.vcn.persistablebundleutils.IkeSessionParamsUtils', name='TAG')
FieldSub(class_name='android.net.wifi.IWifiManager$Stub', name='TRANSACTION_isThirdPartyAppEnablingWifiConfirmationDialogEnabled')
FieldSub(class_name='android.net.wifi.IWifiManager$Stub', name='TRANSACTION_setNetworkSelectionConfig')
FieldSub(class_name='android.net.wifi.IWifiManager$Stub', name='TRANSACTION_setThirdPartyAppEnablingWifiConfirmationDialogEnabled')
FieldSub(class_name='android.net.wifi.WifiConfiguration', name='isCurrentlyConnected')
FieldSub(class_name='android.net.wifi.WifiConfiguration$NetworkSelectionStatus', name='DISABLED_TRANSITION_DISABLE_INDICATION')
FieldSub(class_name='android.net.wifi.WifiConfiguration$NetworkSelectionStatus', name='mTemporarilyDisabledEndTime')
FieldSub(class_name='android.net.wifi.WifiManager', name='API_SET_NETWORK_SELECTION_CONFIG')
FieldSub(class_name='android.net.wifi.WifiManager', name='API_SET_THIRD_PARTY_APPS_ENABLING_WIFI_CONFIRMATION_DIALOG')
FieldSub(class_name='android.os.IUserManager$Stub', name='TRANSACTION_isUserSwitcherEnabled')
FieldSub(class_name='android.os.IUserManager$Stub', name='TRANSACTION_setUserEphemeral')
FieldSub(class_name='android.provider.DeviceConfig', name='NAMESPACE_VENDOR_SYSTEM_NATIVE_BOOT')
FieldSub(class_name='android.provider.MediaStore', name='EXTRA_LOCAL_PROVIDER')
FieldSub(class_name='android.provider.Settings$Global', name='REMOVE_GUEST_ON_EXIT')
FieldSub(class_name='android.provider.Settings$Secure', name='ADAPTIVE_CHARGING_ENABLED')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_APP_SOURCE_NAME')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_CODE')
FieldSub(class_name='android.provider.Settings$Secure', name='BLUETOOTH_LE_BROADCAST_PROGRAM_INFO')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_COMPLETED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_NOT_STARTED')
