FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioInOutFlag', name='AUDIO_INPUT_FLAG_VOIP_RECORD')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioInOutFlag', name='AUDIO_OUTPUT_FLAG_VIRTUAL_DEEP_BUFFER')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_CALL')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_DOWNLINK')
FieldSub(class_name='android.audio.policy.configuration.V7_0.AudioSource', name='AUDIO_SOURCE_VOIP_UPLINK')
FieldSub(class_name='android.bluetooth.BluetoothClass$Service', name='GROUP')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='CHANNEL_MODE_JOINT_STEREO')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_16000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_24000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_32000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SAMPLE_RATE_8000')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_ADAPTIVE')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_APTX_TWSP')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_CELT')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV1')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV2')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV3')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_CODEC_TYPE_LHDCV5')
FieldSub(class_name='android.bluetooth.BluetoothCodecConfig', name='SOURCE_QVA_CODEC_TYPE_MAX')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='ACTION_REMOTE_ISSUE_OCCURRED')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='ACTION_TWS_PLUS_DEVICE_PAIR')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_BQR')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ERROR_CODE')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ERROR_EVENT_MASK')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_GLITCH_COUNT')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_GROUP_ID')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_ISSUE_TYPE')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_IS_PRIVATE_ADDRESS')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LINK_QUALITY')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LMP_SUBVER')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_LMP_VERSION')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_MANUFACTURER')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_POWER_LEVEL')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_TWS_PLUS_DEVICE1')
FieldSub(class_name='android.bluetooth.BluetoothDevice', name='EXTRA_TWS_PLUS_DEVICE2')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_BALANCED')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_HIGH')
FieldSub(class_name='android.bluetooth.BluetoothGatt', name='SUBRATE_REQ_LOW_POWER')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='ACTION_HF_TWSP_BATTERY_STATE_CHANGED')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='EXTRA_HF_TWSP_BATTERY_LEVEL')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='EXTRA_HF_TWSP_BATTERY_STATE')
FieldSub(class_name='android.bluetooth.BluetoothHeadset', name='STATE_AUDIO_DISCONNECTING')
FieldSub(class_name='android.bluetooth.BluetoothLeAudioCodecConfig', name='FRAME_DURATION_15000')
FieldSub(class_name='android.bluetooth.BluetoothLeAudioCodecConfig', name='SAMPLE_RATE_96000')
FieldSub(class_name='android.bluetooth.BluetoothLeAudioCodecConfig', name='SOURCE_CODEC_TYPE_APTX_ADAPTIVE_LE')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='ACTION_STATE_CHANGED')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='EXTRA_LOCAL_STATE')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='LOCAL_STATE_OFF')
FieldSub(class_name='android.bluetooth.BluetoothPan', name='LOCAL_STATE_ON')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='BC_PROFILE')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='BROADCAST')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='CC_SERVER')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='COORDINATED_AUDIO_UNICAST')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='CS_PROFILE')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='DUN')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='GROUP_CLIENT')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='PC_PROFILE')
FieldSub(class_name='android.bluetooth.BluetoothProfile', name='VCP')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_HEARINGAID_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_MEDIA_G_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_MEDIA_P_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_MEDIA_T_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_MEDIA_W_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_VOICE_P_UUID')
FieldSub(class_name='android.bluetooth.BluetoothUuid', name='ADVANCE_VOICE_T_UUID')
FieldSub(class_name='android.bluetooth.le.ScanFilter', name='WIFI_ALLIANCE_ORG_ID')
FieldSub(class_name='android.bluetooth.le.ScanRecord', name='DATA_TYPE_GROUP_AD_TYPE')
FieldSub(class_name='android.bluetooth.le.ScanSettings', name='CALLBACK_TYPE_SENSOR_ROUTING')
FieldSub(class_name='android.content.Context', name='MAGIC_POINTER')
FieldSub(class_name='android.content.Context', name='SECURITY_SERVICE')
FieldSub(class_name='android.content.Intent', name='ACTION_PACKAGE_NEEDS_OPTIONAL_VERIFICATION')
FieldSub(class_name='android.content.SyncResult', name='miSyncResult')
FieldSub(class_name='android.content.SyncStatusInfo', name='miSyncStatusInfo')
FieldSub(class_name='android.content.pm.ApplicationInfo', name='PRIVATE_FLAG_EXT_EMBEDDING_WINDOW')
FieldSub(class_name='android.content.pm.ApplicationInfo', name='PRIVATE_FLAG_EXT_SELF_ADAPT_EMBEDDING_WINDOW_EXIT')
FieldSub(class_name='android.content.pm.ApplicationInfo', name='overrideDensity')
FieldSub(class_name='android.content.pm.ApplicationInfo', name='overrideRes')
