FieldSub(class_name='android.app.AppOpsManager', name='OP_SEC_CONTROL_DNS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SEND_MMS')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SERVICE_FOREGROUND')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHAKE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHOW_DEAMON_NOTIFICATION')
FieldSub(class_name='android.app.AppOpsManager', name='OP_SHOW_WHEN_LOCKED')
FieldSub(class_name='android.app.AppOpsManager', name='OP_WIFI_CHANGE')
FieldSub(class_name='android.app.AppOpsManager', name='OP_WRITE_MMS')
FieldSub(class_name='android.app.ApplicationPackageManager', name='IS_INTERNATIONAL')
FieldSub(class_name='android.app.ContextImpl$ApplicationContentResolver', name='mUser')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_DELETED')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_UPDATED')
FieldSub(class_name='android.app.DownloadManager', name='ACTION_DOWNLOAD_UPDATE_PROGRESS_REGISTRATION')
FieldSub(class_name='android.app.DownloadManager', name='COLUMN_XL_TASK_OPEN_MARK')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_CURRENT_BYTES')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_STATUS')
FieldSub(class_name='android.app.DownloadManager', name='EXTRA_DOWNLOAD_TOTAL_BYTES')
FieldSub(class_name='android.app.DownloadManager', name='GLOBAL_UNDERLYING_COLUMNS')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_APPLICATION_PACKAGENAME')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_REGISTER_DOWNLOADS_UPDATE_PROGRESS')
FieldSub(class_name='android.app.DownloadManager', name='INTENT_EXTRA_UNREGISTER_DOWNLOADS_UPDATE_PROGRESS')
FieldSub(class_name='android.app.DownloadManager', name='IS_DEVELOPMENT_VERSION')
FieldSub(class_name='android.app.DownloadManager', name='MIUI_UNDERLYING_COLUMNS')
FieldSub(class_name='android.app.DownloadManager', name='MIUI_UNDERLYING_COLUMNS_DEV')
FieldSub(class_name='android.app.DownloadManager', name='PAUSED_BY_APP')
FieldSub(class_name='android.app.DownloadManager', name='PAUSE_INSUFFICIENT_SPACE')
FieldSub(class_name='android.app.DownloadManager', name='PERMISSION_SILENCE_INSTALL')
FieldSub(class_name='android.app.DownloadManager', name='REGULAR_EXPRESSION_FOR_DEVELOPMENT')
FieldSub(class_name='android.app.DownloadManager$Query', name='mAppendedClause')
FieldSub(class_name='android.app.DownloadManager$Query', name='mColumnAppData')
FieldSub(class_name='android.app.DownloadManager$Query', name='mColumnNotificationPackage')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_MANUAL')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_NONE')
FieldSub(class_name='android.app.DownloadManager$Request', name='INSTALL_WAY_SILENCE')
FieldSub(class_name='android.app.DownloadManager$Request', name='mApkPackageName')
FieldSub(class_name='android.app.DownloadManager$Request', name='mAppointName')
FieldSub(class_name='android.app.DownloadManager$Request', name='mBypassRecommendedSizeLimit')
FieldSub(class_name='android.app.DownloadManager$Request', name='mColumnAppData')
FieldSub(class_name='android.app.DownloadManager$Request', name='mExtra')
FieldSub(class_name='android.app.DownloadManager$Request', name='mExtra2')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileHash')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileIconUri')
FieldSub(class_name='android.app.DownloadManager$Request', name='mFileSize')
FieldSub(class_name='android.app.DownloadManager$Request', name='mInstallWay')
FieldSub(class_name='android.app.DownloadManager$Request', name='mNotificationClass')
FieldSub(class_name='android.app.DownloadManager$Request', name='mUseSystemCache')
FieldSub(class_name='android.app.DownloadManager$Request', name='mUserAgent')
FieldSub(class_name='android.app.DownloadManager$Request', name='mXlVipStatus')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_APPLICATION_CREATE_CALLED')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_CONFIGURATION_CHANGED_CALLED')
FieldSub(class_name='android.app.EventLogTags', name='WM_ON_IDLE_CALLED')
FieldSub(class_name='android.app.IActivityClientController$Stub', name='TRANSACTION_isInNewProcess')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_collectWebViewProcesses')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_dumpMiuiStackTraces')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_enableAmsDebugConfig')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_enableAppDebugConfig')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getApplicationLockActivityList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getCastPid')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFixedRotationAppList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getForceLandscapeApplication')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformCaptionInsetsHeightToZeroList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformDisableOverlayList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformIgnoreRequestOrientationList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformNeedRelunchList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformResizeableWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getFreeformVideoWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getHideSelfIfNewFreeformTaskWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getLaunchInTaskList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getOomAdjOfPid')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getRotationFromDisplayApp')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getSensorDisableWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getShowHiddenTaskIfFinishedWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getStartFromFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getTaskResizeableForFreeform')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getTopGameList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getTopVideoList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_getUseDefaultCameraPipelineApp')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_registerActivityObserver')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setApplicationLockActivityList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFixedRotationAppList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setForceLandscapeApplication')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformCaptionInsetsHeightToZeroList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformDisableOverlayList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformIgnoreRequestOrientationList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformNeedRelunchList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformResizeableWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setFreeformVideoWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setHideSelfIfNewFreeformTaskWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setLaunchInTaskList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setRotationFromDisplayApp')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setSensorDisableWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setShowHiddenTaskIfFinishedWhiteList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setStartFromFreeformBlackList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setTopGameList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setTopVideoList')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_setUseDefaultCameraPipelineApp')
FieldSub(class_name='android.app.IActivityManager$Stub', name='TRANSACTION_unregisterActivityObserver')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_castRotationChanged')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_enterSplitScreen')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_enterSplitScreenMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_exitCastMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_exitSplitScreen')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getMiuiFreeFormManagerService')
